Semana,abrantes,agueda,aguiar da beira,alandroal,albergaria-a-velha,albufeira,alcacer do sal,alcanena,alcobaca,alcochete,alcoutim,alenquer,alfandega da fe,alijo,aljezur,aljustrel,almada,almeida,almeirim,almodovar,alpiarca,alter do chao,alvaiazere,alvito,amadora,amarante,amares,anadia,angra do heroismo,ansiao,arcos de valdevez,arganil,armamar,arouca,arraiolos,arronches,arruda dos vinhos,aveiro,avis,azambuja,baiao,barcelos,barrancos,barreiro,batalha,beja,belmonte,benavente,bombarral,borba,boticas,braga,braganca,cabeceiras de basto,cadaval,caldas da rainha,calheta (r.a.a.),calheta (r.a.m.),camara de lobos,caminha,campo maior,cantanhede,carrazeda de ansiaes,carregal do sal,cartaxo,cascais,castanheira de pera,castelo branco,castelo de paiva,castelo de vide,castro daire,castro marim,castro verde,celorico da beira,celorico de basto,chamusca,chaves,cinfaes,coimbra,condeixa-a-nova,constancia,coruche,corvo,covilha,crato,cuba,desconhecido,elvas,entroncamento,espinho,esposende,estarreja,estrangeiro,estremoz,evora,fafe,faro,felgueiras,ferreira do alentejo,ferreira do zezere,figueira da foz,figueira de castelo rodrigo,figueiro dos vinhos,fornos de algodres,freixo de espada a cinta,fronteira,funchal,fundao,gaviao,gois,golega,gondomar,gouveia,grandola,guarda,guimaraes,horta,idanha-a-nova,ilhavo,lagoa,lagoa (r.a.a),lagos,lajes das flores,lajes do pico,lamego,leiria,lisboa,loule,loures,lourinha,lousa,lousada,macao,macedo de cavaleiros,machico,madalena,mafra,maia,mangualde,manteigas,marco de canaveses,marinha grande,marvao,matosinhos,mealhada,meda,melgaco,mertola,mesao frio,mira,miranda do corvo,miranda do douro,mirandela,mogadouro,moimenta da beira,moita,moncao,monchique,mondim de basto,monforte,montalegre,montemor-o-novo,montemor-o-velho,montijo,mora,mortagua,moura,mourao,murca,murtosa,nazare,nelas,nisa,nordeste,obidos,odemira,odivelas,oeiras,oleiros,olhao,oliveira de azemeis,oliveira de frades,oliveira do bairro,oliveira do hospital,ourem,ourique,ovar,pacos de ferreira,palmela,pampilhosa da serra,paredes,paredes de coura,pedrogao grande,penacova,penafiel,penalva do castelo,penamacor,penedono,penela,peniche,peso da regua,pinhel,pombal,ponta delgada,ponta do sol,ponte da barca,ponte de lima,ponte de sor,portalegre,portel,portimao,porto,porto de mos,porto moniz,porto santo,povoacao,povoa de lanhoso,povoa de varzim,proenca-a-nova,redondo,reguengos de monsaraz,resende,ribeira brava,ribeira de pena,ribeira grande,rio maior,sabrosa,sabugal,salvaterra de magos,santa comba dao,santa cruz,santa cruz da graciosa,santa cruz das flores,santa maria da feira,santa marta de penaguiao,santana,santarem,santiago do cacem,santo tirso,sao bras de alportel,sao joao da madeira,sao joao da pesqueira,sao pedro do sul,sao roque do pico,sao vicente,sardoal,satao,seia,seixal,sernancelhe,serpa,serta,sesimbra,setubal,sever do vouga,silves,sines,sintra,sobral de monte agraco,soure,sousel,tabua,tabuaco,tarouca,tavira,terras de bouro,tomar,tondela,torre de moncorvo,torres novas,torres vedras,trancoso,trofa,vagos,vale de cambra,valenca,valongo,valpacos,velas,vendas novas,viana do alentejo,viana do castelo,vidigueira,vieira do minho,vila da praia da vitoria,vila de rei,vila do bispo,vila do conde,vila do porto,vila flor,vila franca de xira,vila franca do campo,vila nova da barquinha,vila nova de cerveira,vila nova de famalicao,vila nova de foz coa,vila nova de gaia,vila nova de paiva,vila nova de poiares,vila pouca de aguiar,vila real,vila real de santo antonio,vila velha de rodao,vila verde,vila vicosa,vimioso,vinhais,viseu,vizela,vouzela
 39-2018,9,10,5,1,4,2,4,5,11,2,1,7,0,3,1,3,35,1,3,3,4,1,4,2,31,8,2,5,5,3,7,3,0,7,2,2,3,14,3,2,4,9,0,21,3,6,2,7,4,2,1,16,12,4,5,11,0,2,5,1,2,7,2,6,2,43,1,16,2,1,4,2,1,2,4,3,8,1,22,1,0,6,0,9,1,1,3,3,2,7,5,4,13,5,7,6,8,7,1,1,13,5,2,2,0,2,20,3,1,0,2,20,1,2,6,15,2,4,2,2,2,6,0,2,9,22,125,9,22,5,1,9,3,5,3,0,12,19,3,1,2,14,1,16,2,0,4,3,1,3,5,2,4,3,1,16,6,3,1,0,0,2,4,9,1,2,3,0,2,2,7,1,3,0,3,8,17,21,4,16,5,0,7,5,11,2,9,8,16,1,8,1,2,1,11,3,0,0,2,8,5,2,15,15,2,1,6,5,4,3,11,42,5,0,0,0,5,9,0,1,1,2,2,2,5,5,1,5,2,2,6,1,1,14,0,2,12,6,11,3,2,2,2,1,1,1,4,5,29,3,7,1,4,19,2,7,3,48,2,2,0,1,1,0,7,4,6,3,3,10,9,1,7,5,4,5,14,7,0,2,5,14,2,5,4,0,5,12,3,2,20,2,2,2,23,2,42,1,1,2,6,5,2,9,0,2,1,12,2,4
 40-2018,3,5,0,4,6,4,4,3,13,1,1,6,1,1,1,1,25,2,4,2,2,1,1,0,40,5,1,7,8,2,8,7,2,3,1,4,2,10,5,4,4,15,0,12,4,10,0,5,3,1,0,22,8,3,4,10,2,2,1,4,2,8,4,3,7,37,1,18,3,1,3,0,2,3,4,1,5,4,29,5,1,4,0,10,2,0,1,7,6,11,8,5,5,6,10,14,13,4,1,5,13,2,6,1,1,2,18,12,1,2,0,18,4,4,8,11,5,2,7,4,1,11,0,2,11,28,113,12,21,4,5,5,1,7,1,1,14,18,1,1,7,8,0,30,2,2,1,0,0,0,2,2,3,0,2,10,3,3,0,0,1,7,4,13,1,3,6,0,3,0,2,1,1,2,1,6,13,37,1,12,10,2,7,6,8,2,6,5,8,1,7,1,0,3,10,3,1,2,1,3,5,1,16,10,5,3,8,5,2,2,14,52,3,0,1,0,2,6,4,1,1,3,0,5,2,4,3,7,6,4,7,1,3,19,1,2,16,9,14,1,2,0,6,0,2,1,3,7,20,0,3,3,11,22,2,3,3,53,1,3,0,1,0,3,11,2,9,8,3,8,17,5,3,3,1,1,9,5,1,4,4,16,1,3,0,1,0,18,4,2,14,3,2,1,14,4,57,2,2,3,5,7,2,5,3,3,5,17,2,1
 41-2018,13,5,1,3,3,7,5,3,14,4,1,5,1,5,0,2,30,3,2,1,2,2,0,1,34,11,3,7,6,2,3,3,1,4,2,2,2,8,0,2,6,8,1,13,5,14,1,6,1,1,1,21,9,2,0,7,0,0,5,6,1,6,1,0,6,39,1,15,3,1,2,1,2,2,3,3,8,2,31,3,0,4,0,12,3,1,1,7,3,4,5,2,14,3,8,6,8,9,6,2,20,1,2,5,1,1,18,4,1,3,3,26,5,6,6,22,1,3,7,7,1,3,0,2,7,19,97,12,35,1,2,2,5,2,6,1,13,21,3,0,12,10,0,30,4,0,1,2,0,2,6,3,4,4,2,9,11,0,0,3,2,5,7,9,5,3,4,0,1,3,3,4,3,0,1,6,26,24,1,9,13,0,9,4,12,0,13,4,15,2,17,0,2,5,10,1,4,1,1,4,4,2,11,9,1,1,6,8,2,0,7,58,5,0,0,2,4,9,3,2,4,5,3,5,6,3,1,4,4,1,4,1,1,17,1,1,13,5,14,3,1,3,3,0,1,5,2,5,20,1,3,2,16,29,4,7,2,62,3,2,1,6,0,0,8,1,12,4,2,8,7,1,6,6,2,3,11,4,0,4,3,22,0,5,2,3,0,19,3,3,15,1,2,3,23,4,52,0,3,0,14,4,0,7,2,2,4,20,3,1
 42-2018,11,7,1,0,1,3,1,3,15,2,2,12,3,5,1,3,39,2,8,0,3,0,2,0,23,15,3,7,8,4,9,8,2,4,2,0,2,8,0,2,2,16,0,16,2,6,2,3,7,1,1,30,10,5,4,8,0,1,10,3,3,12,0,2,6,37,0,9,1,1,2,5,3,3,4,3,7,0,21,6,2,4,0,10,2,1,1,5,4,8,7,4,10,1,12,8,8,8,1,0,11,2,2,3,1,1,17,3,3,1,2,24,1,5,9,17,1,7,7,4,2,5,0,0,4,18,112,12,43,6,4,8,3,6,2,1,14,25,4,2,3,6,0,24,1,2,2,4,2,3,5,0,5,1,4,12,5,1,1,0,3,5,5,7,2,2,3,2,1,4,2,3,2,1,4,5,22,29,5,5,16,1,5,2,10,1,11,7,8,1,14,1,1,1,6,2,3,0,0,8,1,5,11,10,2,2,10,4,4,3,7,50,2,1,1,1,3,9,3,1,1,2,2,3,4,5,2,6,4,1,6,0,1,12,0,1,13,4,16,2,3,0,3,0,1,0,1,2,27,1,7,3,7,24,1,6,2,59,6,12,1,2,0,1,9,4,19,4,4,12,17,3,7,5,6,4,14,2,2,1,1,19,1,2,1,1,0,17,0,1,25,1,1,3,18,1,48,2,1,3,14,0,2,9,3,2,4,15,3,3
 43-2018,8,11,1,4,5,8,3,5,10,5,1,9,1,1,1,3,33,2,6,4,3,0,1,0,27,13,2,7,6,6,6,7,1,2,2,1,2,22,0,2,5,17,0,16,2,7,1,6,6,2,2,21,14,0,3,8,1,1,5,3,2,11,1,0,3,28,1,12,1,1,9,2,2,2,6,1,7,5,22,6,1,7,0,8,3,3,1,2,2,6,8,12,5,3,8,14,16,7,7,3,26,0,2,1,0,1,30,9,0,1,0,22,8,3,11,18,4,4,6,5,1,4,0,1,2,20,115,10,35,3,2,6,6,5,10,2,18,11,1,1,5,7,3,37,5,2,6,0,1,4,6,2,3,0,2,8,4,1,3,0,3,5,3,10,2,2,3,1,3,5,3,5,1,1,2,5,16,28,2,9,4,1,5,7,9,3,11,8,15,3,11,2,1,2,7,1,0,0,0,8,2,2,14,14,1,1,16,2,3,1,16,48,7,0,1,1,3,13,2,3,3,0,5,2,5,1,1,2,3,1,6,1,0,26,0,1,20,9,13,2,3,0,3,0,0,0,6,14,22,3,4,2,9,25,1,8,4,53,2,5,0,1,2,2,5,4,5,8,5,12,24,3,6,3,4,3,9,3,2,2,4,18,6,3,1,0,1,15,2,3,23,5,0,1,7,2,46,1,2,3,8,2,0,7,2,1,2,15,4,1
 44-2018,8,10,2,2,7,11,2,3,19,3,1,5,0,1,2,2,30,5,4,1,7,1,3,1,34,3,4,5,6,3,8,5,1,4,2,2,3,12,2,7,3,14,1,11,3,3,1,7,1,4,1,19,6,4,2,13,0,1,4,0,3,11,1,2,8,45,1,6,2,1,1,4,3,0,10,2,13,4,20,10,3,5,0,7,2,3,0,6,8,7,3,12,9,6,8,8,15,6,5,3,15,4,2,2,4,0,28,4,2,0,0,35,8,4,7,23,1,9,8,5,2,7,0,0,5,11,127,13,28,5,1,12,1,4,4,3,12,19,9,2,9,6,1,37,1,1,3,0,1,2,2,1,7,4,3,16,5,3,0,0,7,4,4,8,4,0,7,2,3,4,4,2,3,0,6,4,16,37,1,14,9,3,5,5,4,4,10,9,17,1,15,0,0,1,11,1,4,1,2,6,0,2,12,14,2,4,6,4,3,2,7,55,2,1,1,2,5,9,3,4,4,0,1,1,4,7,2,5,9,1,4,1,0,17,0,3,15,7,11,3,5,0,4,0,0,1,3,8,23,1,6,3,10,30,2,11,4,56,5,4,0,2,1,0,6,2,11,5,4,8,20,3,4,5,1,3,21,5,1,7,2,14,0,3,2,1,0,16,1,3,14,2,0,1,13,2,41,2,2,4,11,1,2,10,2,1,0,21,5,2
 45-2018,9,6,3,2,2,6,5,5,11,1,1,6,0,1,2,3,35,2,4,3,1,0,5,1,39,12,2,5,11,2,3,5,2,7,2,3,4,7,3,5,7,24,0,15,3,9,3,5,4,2,0,23,8,6,9,10,0,1,4,3,1,6,2,0,12,42,0,17,7,1,3,1,4,0,2,2,14,4,21,2,1,9,0,9,3,0,6,8,1,10,2,10,19,2,5,7,15,15,1,1,14,0,3,4,2,0,13,5,1,3,3,25,2,3,6,27,0,3,6,4,4,4,0,1,12,29,120,18,35,4,1,9,2,4,3,2,21,23,9,2,5,8,2,34,5,1,7,2,3,1,4,2,7,3,1,8,7,3,1,0,3,8,4,9,1,2,6,0,3,2,8,2,2,0,5,4,22,32,0,11,5,1,0,3,11,2,3,6,24,0,10,1,1,5,14,2,3,1,1,4,2,2,12,10,1,5,6,3,8,0,14,57,4,0,2,0,7,11,2,1,2,2,2,2,2,3,3,3,4,2,4,1,1,23,4,4,11,5,10,5,3,3,3,1,1,1,3,7,24,4,4,7,13,25,6,9,3,59,4,6,2,2,1,2,8,2,10,5,4,12,15,2,9,6,3,4,18,4,0,3,1,18,0,7,2,1,1,19,2,5,12,1,0,1,19,6,54,5,3,1,7,5,2,5,3,0,8,28,5,3
 46-2018,13,10,4,0,5,7,6,3,11,4,0,11,0,2,2,2,44,1,3,3,1,1,3,0,28,8,3,6,5,5,8,3,1,4,2,1,4,12,3,4,3,11,0,10,2,10,0,6,2,2,3,27,7,2,9,15,1,0,5,5,0,13,5,2,0,49,0,10,1,0,3,2,0,3,3,2,9,5,29,3,1,3,0,14,1,2,2,5,2,8,4,6,9,4,6,10,8,7,2,7,19,1,2,3,1,0,19,8,3,1,3,29,4,1,14,25,0,7,8,4,3,8,1,3,9,20,121,12,28,8,2,7,0,6,8,1,12,20,6,0,12,11,0,34,3,3,5,1,0,3,4,8,13,3,2,15,10,1,1,1,11,4,4,10,4,2,3,1,1,3,3,3,2,1,4,4,29,33,1,12,13,0,6,4,10,1,12,15,9,0,7,2,2,4,13,1,1,2,0,5,2,7,6,16,2,4,9,7,4,3,10,66,3,1,1,0,1,5,5,1,4,2,4,3,5,1,1,4,10,0,6,0,1,30,1,1,20,3,9,5,2,1,3,2,2,1,5,4,22,0,7,3,4,27,0,9,2,58,3,6,2,6,2,0,3,1,14,8,1,8,20,1,5,5,3,5,9,7,0,5,2,11,1,1,10,1,0,12,1,1,14,2,1,2,16,7,33,1,2,1,8,4,3,9,1,0,3,27,2,3
 47-2018,15,8,1,4,2,6,2,1,8,1,1,10,0,5,0,1,42,2,3,2,0,0,1,1,26,6,6,8,4,6,7,3,1,9,1,1,2,13,0,4,5,23,0,14,2,6,0,5,2,2,2,24,9,3,4,10,0,6,5,5,2,8,3,5,6,40,0,12,4,0,4,3,3,2,3,3,7,5,27,3,0,3,0,16,1,1,1,3,4,4,2,4,7,4,17,7,11,10,1,4,16,2,1,1,4,0,20,3,0,2,4,30,2,2,16,23,2,3,8,6,2,13,1,2,7,30,105,13,27,9,2,8,4,7,3,2,13,24,4,3,6,5,0,39,3,2,2,1,0,4,2,1,6,3,4,12,2,2,1,4,3,8,7,8,1,0,3,1,0,1,3,4,2,0,1,4,18,27,1,9,7,2,6,1,14,5,7,4,11,2,16,2,1,3,9,1,3,0,1,6,5,1,12,7,3,6,16,5,5,3,16,53,5,1,0,1,4,7,4,4,3,5,3,2,3,4,8,4,4,2,6,3,0,32,1,4,13,9,13,1,2,2,4,1,2,1,2,7,13,6,1,5,10,23,4,8,3,48,4,4,4,2,0,0,12,1,6,4,5,3,22,0,5,4,3,6,15,7,2,2,3,20,1,5,3,4,2,21,3,5,22,3,3,1,14,4,66,2,2,6,11,3,1,12,4,1,5,13,1,1
 48-2018,11,10,3,3,4,7,1,5,10,4,0,6,2,1,2,5,36,3,5,3,5,1,4,1,37,11,8,6,9,2,5,4,3,5,2,2,1,10,1,1,3,19,1,11,3,15,0,3,2,1,1,21,11,2,6,11,1,1,4,1,2,14,1,5,8,37,0,8,2,3,5,0,4,0,3,4,12,10,30,5,1,3,0,7,1,1,4,1,3,11,3,9,6,3,12,15,12,6,2,1,13,4,2,0,1,0,29,4,3,2,3,26,4,4,7,18,6,7,12,5,2,1,0,4,5,20,126,16,34,4,3,10,6,3,4,1,15,17,3,0,2,5,0,37,1,3,2,2,5,5,4,1,4,2,2,14,8,5,1,1,2,3,8,13,1,5,4,3,2,5,3,5,0,1,1,7,22,35,2,8,8,1,9,7,9,3,12,4,17,0,15,2,0,1,12,2,2,0,2,4,5,1,20,22,0,2,7,1,6,1,9,50,8,0,0,2,4,8,1,1,4,5,0,3,6,3,2,4,5,3,2,0,0,32,0,2,14,5,8,4,5,0,1,0,3,2,5,5,39,3,7,4,7,19,2,11,3,49,5,2,0,7,1,1,5,3,12,8,2,11,12,3,5,2,7,4,15,8,0,1,2,24,2,0,3,2,5,9,0,4,18,3,3,1,15,1,68,1,3,4,15,3,3,12,4,0,2,19,4,6
 49-2018,10,9,0,1,3,5,1,8,5,7,3,4,0,3,1,4,48,3,6,2,1,1,2,2,49,11,5,7,8,7,3,5,0,4,0,3,6,14,1,8,1,15,0,13,5,14,1,4,1,5,3,22,6,4,2,17,1,5,9,3,3,9,2,0,3,41,1,14,4,1,6,2,4,2,4,3,11,1,31,4,2,5,0,11,2,2,2,4,8,9,5,5,7,2,9,10,22,10,2,2,19,2,1,3,3,1,14,7,3,1,0,26,9,6,4,20,1,8,4,1,3,7,1,0,7,22,150,19,34,7,3,7,3,3,3,0,15,26,3,0,10,5,1,34,5,2,2,5,2,5,3,1,6,6,2,16,5,1,1,0,3,3,9,9,0,1,2,0,2,1,3,7,3,1,0,5,32,25,0,9,17,1,8,7,10,3,3,9,17,2,12,1,0,2,9,1,5,0,3,9,5,5,9,10,0,2,12,2,4,3,5,49,7,1,1,0,2,10,6,2,5,4,3,1,4,2,0,5,5,6,4,1,2,18,3,5,14,8,15,2,2,2,3,1,1,1,2,7,32,1,17,5,9,29,0,6,4,56,2,3,4,0,1,3,15,1,8,10,2,11,11,2,3,1,2,3,16,5,0,1,2,18,3,4,7,1,0,9,2,2,20,2,0,2,25,3,40,4,7,2,9,5,1,5,4,0,2,15,3,0
 50-2018,5,6,2,2,4,6,5,6,11,3,1,12,2,4,0,2,42,5,6,1,5,0,2,2,33,14,3,7,2,6,10,7,2,4,2,2,0,17,1,4,2,15,2,22,2,13,2,4,4,6,1,26,8,6,4,10,0,1,4,3,1,8,1,3,4,57,2,13,2,0,4,5,3,1,6,2,4,3,23,3,1,2,0,8,0,1,2,6,1,2,5,4,5,4,16,12,16,6,4,4,9,2,2,4,1,1,15,6,2,2,2,31,5,6,11,30,2,6,5,3,5,9,0,2,5,25,141,11,45,9,2,9,2,2,6,0,8,19,5,0,6,7,2,29,9,3,1,3,1,1,3,0,1,1,1,9,2,3,2,1,1,6,6,13,1,3,6,1,1,0,3,4,2,1,3,5,29,29,2,5,13,2,5,6,11,4,12,8,21,2,15,3,1,6,12,1,1,0,0,8,4,4,9,15,1,3,8,2,9,0,14,52,3,0,2,1,4,10,1,0,4,3,0,3,4,2,1,7,8,2,12,1,1,15,3,3,12,6,14,5,5,1,2,0,0,2,2,8,24,1,7,5,11,29,1,13,2,51,6,2,3,6,4,0,9,2,9,8,3,11,14,2,5,1,7,0,15,7,1,3,3,17,2,0,3,0,3,11,1,3,16,1,2,3,9,4,58,1,1,4,7,2,3,7,2,1,2,16,2,5
 51-2018,10,13,4,1,6,9,3,1,13,4,1,13,4,5,2,3,42,7,11,5,2,2,2,0,31,15,3,11,10,1,8,3,1,1,2,3,2,19,0,9,4,26,2,25,3,12,2,6,2,6,1,21,8,1,2,15,1,5,6,4,4,6,2,3,5,41,0,18,2,3,4,2,2,4,6,1,11,7,31,2,0,4,0,16,2,2,6,1,2,13,5,7,8,7,11,6,9,7,1,1,12,3,2,4,3,1,21,12,2,1,4,28,7,5,5,28,2,1,7,10,4,4,0,1,9,22,156,11,35,6,1,7,3,6,4,1,16,23,3,0,12,10,1,24,4,0,2,1,2,1,1,0,9,3,3,15,6,2,5,2,6,6,8,8,3,2,7,0,3,1,4,5,2,0,2,3,26,32,3,18,12,4,4,6,13,1,8,13,14,2,13,0,3,3,5,6,0,0,1,7,4,3,14,5,2,4,12,3,5,1,10,61,1,1,2,2,4,9,2,2,4,5,4,3,1,7,2,6,4,7,8,0,0,25,0,1,12,9,14,3,2,1,4,0,0,1,7,0,26,1,3,3,10,33,2,5,4,57,2,6,2,2,3,2,6,4,10,4,0,12,17,3,7,4,11,2,14,5,1,2,2,13,2,2,4,0,2,12,1,1,22,0,2,2,16,3,46,1,2,5,3,10,4,9,1,0,5,22,1,2
 52-2018,7,4,3,1,10,7,1,4,14,3,0,8,0,3,1,2,37,2,5,3,2,0,1,3,48,15,1,13,9,6,8,2,5,4,2,1,4,10,1,4,4,21,0,29,2,12,3,6,3,1,3,24,13,2,5,20,2,2,9,1,4,9,0,3,8,49,2,12,3,0,7,3,3,3,8,5,7,9,32,1,1,9,0,13,2,1,5,5,3,9,10,5,8,3,17,11,14,9,5,1,19,3,2,3,3,1,27,13,5,2,1,25,5,6,11,30,4,6,7,4,5,4,1,1,5,19,136,17,46,8,8,8,4,4,2,1,11,23,7,0,8,10,3,21,5,1,1,5,0,4,3,4,7,3,0,13,3,0,1,0,6,3,9,17,2,5,6,1,1,1,5,5,3,0,4,11,35,35,1,14,15,2,2,9,8,0,8,5,20,1,9,4,2,4,12,5,2,0,1,6,3,1,20,12,1,0,8,2,7,1,12,47,4,0,0,0,6,13,5,0,4,2,3,1,3,8,0,7,7,4,6,1,0,21,3,2,20,12,13,1,5,2,5,1,0,1,3,6,26,3,4,2,7,39,3,9,4,65,5,3,0,3,1,3,5,2,20,11,1,7,25,2,9,2,5,3,16,7,1,3,1,25,1,4,4,1,0,14,0,0,19,1,3,2,28,3,59,2,1,3,9,7,0,12,1,2,5,16,5,0
 01-2019,1,3,2,0,0,1,2,0,2,0,0,3,0,1,0,0,7,0,2,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,1,0,3,0,2,0,3,0,3,1,1,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,2,5,0,3,1,0,0,1,0,0,1,2,0,0,6,0,0,4,0,2,0,0,0,3,0,0,0,0,0,3,4,0,1,0,0,0,4,1,1,0,0,0,5,1,0,2,0,3,2,0,4,3,1,0,2,0,0,1,0,1,1,3,25,3,4,1,0,1,1,0,0,0,1,6,2,0,1,0,0,8,1,0,2,0,0,1,0,1,2,0,0,0,1,0,0,0,2,1,0,2,0,0,3,1,0,0,0,0,0,0,0,2,7,4,1,2,4,0,0,1,8,0,3,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,6,0,0,3,0,1,0,1,9,0,0,0,0,1,3,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,0,1,2,2,1,0,4,1,0,0,1,1,1,2,2,0,0,1,1,1,1,1,0,8,0,1,0,0,0,0,2,2,2,1,1,2,4,1,0,2,2,1,2,0,1,0,0,5,0,0,0,0,1,4,0,0,1,1,1,1,1,0,8,0,1,1,2,1,0,4,0,0,0,4,0,1
 01-2019,10,7,2,5,6,11,4,2,7,4,1,9,0,4,3,4,45,4,10,1,2,3,4,1,45,10,5,8,7,4,3,3,2,2,2,5,1,13,1,5,4,20,0,28,1,13,1,5,2,0,3,30,5,3,9,17,0,3,5,3,1,9,2,1,12,51,3,28,4,1,8,2,2,3,3,7,12,9,24,4,1,5,1,16,1,2,6,2,4,3,7,4,11,5,14,10,14,8,1,1,19,4,1,3,1,2,21,4,2,0,1,24,6,5,7,21,0,5,7,7,2,4,1,1,7,23,157,16,36,3,4,10,1,2,4,0,15,19,6,0,6,7,1,33,8,1,1,2,1,5,3,2,1,1,0,25,6,1,2,2,2,8,6,13,4,0,3,0,0,1,4,3,5,3,6,7,23,36,1,10,14,3,1,4,11,2,7,6,11,1,9,2,1,6,5,3,2,0,0,10,3,4,9,13,2,1,8,8,8,1,8,66,6,1,0,0,3,8,2,3,1,1,5,1,5,7,0,5,5,4,6,0,1,29,2,0,14,5,14,2,3,1,7,0,1,0,0,10,31,0,4,2,5,28,3,8,6,59,0,8,2,3,1,2,6,2,8,7,5,16,17,2,7,4,3,1,13,6,1,5,1,12,0,1,4,1,0,18,0,4,17,2,0,5,23,4,46,2,4,2,7,4,4,11,3,2,3,23,4,4
 02-2019,19,12,1,4,10,10,3,9,10,7,4,16,2,3,5,1,61,5,11,3,4,2,4,0,55,14,5,9,12,9,6,4,2,5,4,1,1,19,1,8,2,27,0,29,2,9,0,6,5,1,1,21,9,8,2,22,2,6,6,6,2,12,0,4,5,49,1,16,3,2,7,4,5,2,5,1,13,5,45,10,1,5,0,20,5,0,4,9,4,11,3,2,10,6,17,11,17,9,2,4,20,2,3,0,1,1,18,12,2,0,2,33,2,6,15,38,6,4,9,9,1,11,0,1,3,19,169,15,47,4,6,11,6,6,5,4,27,34,6,2,10,10,0,41,7,2,7,1,1,3,3,5,10,4,4,27,10,0,3,3,3,2,4,24,6,5,4,0,1,6,6,4,4,0,4,9,31,50,4,12,8,6,8,9,18,4,15,15,21,3,23,4,0,4,13,3,3,1,3,11,2,2,25,15,4,8,18,5,11,1,13,61,3,2,1,1,5,18,4,3,2,4,4,3,4,10,4,7,13,1,12,2,0,27,6,3,16,10,9,4,4,2,2,1,3,1,7,8,39,3,5,4,8,42,4,11,2,78,2,2,2,9,0,2,4,2,18,3,5,21,21,4,11,5,3,3,17,6,1,4,1,19,6,6,7,1,3,15,1,4,27,3,1,5,25,4,73,1,2,5,7,8,1,12,3,1,5,15,5,3
 03-2019,11,12,4,4,5,10,3,4,26,2,3,11,5,3,2,3,61,8,6,8,3,1,2,1,40,12,10,14,7,6,8,4,5,6,2,1,2,30,1,6,3,29,0,24,1,9,5,8,4,3,1,33,12,3,6,18,4,3,4,6,1,14,1,4,10,51,1,15,4,5,7,4,3,1,6,11,15,8,36,2,0,9,0,10,1,1,2,9,7,11,10,7,6,4,20,13,16,10,1,3,26,3,4,1,2,0,38,9,2,1,5,31,8,7,5,36,4,10,8,6,3,10,0,0,6,28,201,18,54,12,7,13,4,2,3,1,20,34,8,1,13,12,1,38,8,2,10,4,1,4,2,3,3,2,4,31,0,8,0,1,5,7,7,20,1,7,5,0,0,7,4,3,2,0,6,9,39,49,2,9,25,2,2,9,18,4,16,9,33,2,17,1,2,4,16,1,4,1,3,14,7,1,14,12,5,6,10,7,3,2,21,70,11,1,3,3,6,13,0,3,3,3,1,1,7,3,1,7,6,1,6,2,0,36,6,2,20,7,17,4,8,3,3,0,1,0,4,6,35,0,5,2,12,43,3,13,4,63,6,8,2,8,0,0,5,1,19,8,3,10,26,5,5,3,9,4,22,8,2,6,2,28,2,8,0,4,2,18,0,6,35,2,1,5,25,2,66,3,3,5,7,11,4,9,0,1,2,20,5,5
 04-2019,18,18,0,2,5,5,6,6,23,1,3,9,3,4,3,6,64,4,6,5,4,1,3,1,52,17,3,11,8,7,14,9,3,10,4,3,3,21,0,8,8,27,0,19,4,11,2,7,7,1,1,39,11,6,9,8,0,4,4,9,5,23,3,6,13,57,2,13,3,3,2,5,3,3,3,5,13,4,39,3,1,9,0,14,2,2,2,8,5,5,2,5,6,6,16,13,18,12,4,2,23,4,4,1,3,0,27,12,6,0,4,36,7,7,6,31,1,5,11,6,2,11,1,1,4,49,165,16,63,10,3,4,2,7,7,0,30,37,5,2,14,15,1,37,2,4,3,2,0,4,2,3,7,2,4,17,12,1,3,0,6,3,8,14,2,1,8,1,2,5,5,6,4,2,1,14,39,42,1,9,22,4,5,14,17,1,16,8,17,0,15,2,0,2,15,2,4,1,4,11,4,3,23,7,1,2,22,5,10,2,17,90,9,1,1,0,3,14,5,2,4,5,4,0,6,5,4,5,10,4,8,0,1,37,2,4,22,8,13,2,2,1,2,2,0,2,3,9,57,1,3,7,9,43,3,4,3,82,1,7,1,7,5,3,14,2,10,10,5,8,23,4,9,3,5,6,18,7,2,6,1,25,4,3,1,3,1,16,1,4,45,2,3,2,27,4,67,3,4,4,18,7,4,5,3,5,6,31,5,6
